account_id,steamid,avatar,avatarmedium,avatarfull,profileurl,personaname,last_login,full_history_time,cheese,fh_unavailable,loccountrycode,last_match_time,name,country_code,fantasy_role,team_id,team_name,team_tag,is_locked,is_pro,locked_until
2553754,76561197962819482,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fefac05d8a469bee7a8af85f4e72cd1952aa5838.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fefac05d8a469bee7a8af85f4e72cd1952aa5838_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fefac05d8a469bee7a8af85f4e72cd1952aa5838_full.jpg,https://steamcommunity.com/profiles/76561197962819482/,boomski,,2017-04-22T18:27:21.924Z,0,False,,2018-07-22T19:52:50.000Z,boomski,,2,1805039,BIRAK,BIRAK,False,True,0
3246092,76561197963511820,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98895b053ff265ebcb8c7e07a2ebce80e578ba85.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98895b053ff265ebcb8c7e07a2ebce80e578ba85_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/98/98895b053ff265ebcb8c7e07a2ebce80e578ba85_full.jpg,https://steamcommunity.com/id/inphinity1/,INPHINITY,2016-08-13T22:30:40.357Z,2015-11-27T20:23:27.907Z,0,False,US,,inphinity,us,1,0,,,False,True,0
3916428,76561197964182156,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c7/c7d09e1c3607c70e8ccea13e18b5925c5c1c840c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c7/c7d09e1c3607c70e8ccea13e18b5925c5c1c840c_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c7/c7d09e1c3607c70e8ccea13e18b5925c5c1c840c_full.jpg,https://steamcommunity.com/profiles/76561197964182156/,Prince Cucky,,2017-03-23T16:02:13.727Z,0,True,,2018-07-06T15:11:39.000Z,EGM,,0,0,ftp,ftp,False,True,1502694000
3940262,76561197964205990,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/da/da0ec8e60f4d9bbb4a19f27f356e2b7c513956fb_full.jpg,https://steamcommunity.com/id/March8/,March,,2018-05-03T08:14:33.014Z,0,False,,2018-07-23T05:33:09.000Z,March,,0,0,MVP Phoenix,MVP,True,True,1535785200
4281729,76561197964547457,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/40/4014b548d8454d6894eec5e84c7db691b458458c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/40/4014b548d8454d6894eec5e84c7db691b458458c_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/40/4014b548d8454d6894eec5e84c7db691b458458c_full.jpg,https://steamcommunity.com/profiles/76561197964547457/,( ͡° ͜ʖ ͡°),,2018-07-23T02:29:26.998Z,0,False,DK,2018-07-22T20:57:50.000Z,syndereN,,0,5229049,Mad Lads,ML,True,True,1535785200
5150808,76561197965416536,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/9d/9de3d785809bd41bfeb12e8bef1a101313f5e184.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/9d/9de3d785809bd41bfeb12e8bef1a101313f5e184_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/9d/9de3d785809bd41bfeb12e8bef1a101313f5e184_full.jpg,https://steamcommunity.com/id/he110dota/,Luka Modrić,,2018-03-29T10:23:05.430Z,0,True,,2018-06-19T08:03:52.000Z,fn!,,0,46,Team Empire,Empire,True,True,1535785200
5390881,,,,,,,,,,,,,Cyborgmatt,gb,2,1838315,Team Secret,Secret,False,True,0
5448108,76561197965713836,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c5/c5b75506e6f65ab41095ed4bc70314e467d74ce0_full.jpg,https://steamcommunity.com/profiles/76561197965713836/,F-Dog,,2017-12-18T09:42:50.290Z,0,False,,2018-07-23T05:11:28.000Z,Fogged,us,2,4562387,FILLER PICK,FP,False,True,1471168800
5571849,76561197965837577,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a1/a107bc9e7fb2545413d40b69976aeadf44a090fc.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a1/a107bc9e7fb2545413d40b69976aeadf44a090fc_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a1/a107bc9e7fb2545413d40b69976aeadf44a090fc_full.jpg,https://steamcommunity.com/id/Dotaplayerjah/,jah,,,0,,US,,Hawaiin Fire!!,us,2,1276923,Leviathan',LvT,False,True,1481500800
6103402,76561197966369130,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/c6/c6ec8e8e453e99b1441ffc376259c8aa077748c3_full.jpg,https://steamcommunity.com/profiles/76561197966369130/,solen,2017-11-04T12:25:47.622Z,2016-02-05T11:24:17.449Z,0,False,DK,2018-07-07T13:35:00.000Z,solen,,0,4541043,Team Singularity,SNG,True,True,1535785200
